"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"GWGH","Western x Glaucous-winged Gull (hybrid)","Western x Glaucous-winged Gull (hybrid)","GWGH","x00051","WEGU GWGU","WGWH","LAGL LAOC","Larus occidentalis x glaucescens"
"GWGU","Glaucous-winged Gull","Glaucous-winged Gull","GWGU","glwgul","","GWGU","LAGL","Larus glaucescens"
"GWTE","Green-winged Teal","Green-winged Teal","GWTE","gnwtea","EUTE CWTE EWTE","GWTE","ANCR","Anas crecca"
"GYRF","Gyrfalcon","Gyrfalcon","GYRF","gyrfal","GYFA","GYRF","FARU","Falco rusticolus"
"HADU","Harlequin Duck","Harlequin Duck","HADU","harduc","","HADU","HIHI","Histrionicus histrionicus"
"HAFL","Hammond's Flycatcher","Hammond's Flycatcher","HAFL","hamfly","","HAFL","EMHA","Empidonax hammondii"
"HAHA","Red-tailed Hawk (Harlan's)","Red-tailed Hawk (Harlan's)","HAHA","hrthaw1","RTHA","HRLH","BUJA","Buteo jamaicensis harlani"
"HAWO","Hairy Woodpecker","Hairy Woodpecker","HAWO","haiwoo","","HAWO","DRVI","Dryobates villosus"
"HEGU","Herring Gull","Herring Gull","HEGU","hergul","AHHG EHGU HEGU","HERG","LAAR","Larus argentatus"
"HETH","Hermit Thrush","Hermit Thrush","HETH","herthr","","HETH","CAGU","Catharus guttatus"
"HEWA","Hermit Warbler","Hermit Warbler","HEWA","herwar","","HEWA","SEOC","Setophaga occidentalis"
"HOFI","House Finch","House Finch","HOFI","houfin","","HOFI","HAME","Haemorhous mexicanus"
"HOGR","Horned Grebe","Horned Grebe","HOGR","horgre","SLGR","HOGR","POAU","Podiceps auritus"
"HOLA","Horned Lark","Horned Lark","HOLA","horlar","SHLA","HOLA","ERAL","Eremophila alpestris"
"HOME","Hooded Merganser","Hooded Merganser","HOME","hoomer","","HOME","LOCU","Lophodytes cucullatus"
"HOPU","Horned Puffin","Horned Puffin","HOPU","horpuf","","HOPU","FRCO","Fratercula corniculata"
"HOSP","House Sparrow","House Sparrow","HOSP","houspa","","HOSP","PADO","Passer domesticus"
"HOWR","House Wren","House Wren","HOWR","houwre","","HOWR","TRAE","Troglodytes aedon"
"HUGO","Hudsonian Godwit","Hudsonian Godwit","HUGO","hudgod","","HUGO","LIHA","Limosa haemastica"
"HUVI","Hutton's Vireo","Hutton's Vireo","HUVI","hutvir","","HUVI","VIHU","Vireo huttoni"
"INBU","Indigo Bunting","Indigo Bunting","INBU","indbun","","INBU","PACY","Passerina cyanea"
"KILL","Killdeer","Killdeer","KILL","killde","","KILL","CHVO","Charadrius vociferus"
"LASP","Lark Sparrow","Lark Sparrow","LASP","larspa","","LASP","CHGR","Chondestes grammacus"
"LBCU","Long-billed Curlew","Long-billed Curlew","LBCU","lobcur","","LBCU","NUAM","Numenius americanus"
"LCSP","Le Conte's Sparrow","Le Conte's Sparrow","LCSP","","","","",""
"LEBI","Least Bittern","Least Bittern","LEBI","","","","",""
"LEFL","Least Flycatcher","Least Flycatcher","LEFL","leafly","","LEFL","EMMI","Empidonax minimus"
"LEGO","Lesser Goldfinch","Lesser Goldfinch","LEGO","lesgol","","LEGO","SPPS","Spinus psaltria"
"LEOW","Long-eared Owl","Long-eared Owl","LEOW","loeowl","NLEO","LEOW","ASOT","Asio otus"
"LESA","Least Sandpiper","Least Sandpiper","LESA","leasan","","LESA","CAMI","Calidris minutilla"
"LESC","Lesser Scaup","Lesser Scaup","LESC","lessca","","LESC","AYAF","Aythya affinis"
"LEWO","Lewis's Woodpecker","Lewis's Woodpecker","LEWO","lewwoo","","LEWO","MELE","Melanerpes lewis"
"LEYE","Lesser Yellowlegs","Lesser Yellowlegs","LEYE","lesyel","","LEYE","TRFL","Tringa flavipes"
"LISP","Lincoln's Sparrow","Lincoln's Sparrow","LISP","linspa","","LISP","MELI","Melospiza lincolnii"
"LKBU","Lark Bunting","Lark Bunting","LKBU","larbun","LABU","LARB","CAME","Calamospiza melanocorys"
"LSPE","Leach's Storm-Petrel","Leach's Storm-Petrel","LSPE","lcspet","LSPE","LESP","HYLE","Hydrobates leucorhous"
"LTDU","Long-tailed Duck","Long-tailed Duck","LTDU","lotduc","","LTDU","CLHY","Clangula hyemalis"
"LZBU","Lazuli Bunting","Lazuli Bunting","LZBU","lazbun","LABU","LAZB","PAAM","Passerina amoena"
"MACW","MacGillivray's Warbler","MacGillivray's Warbler","MACW","macwar","MAWA","MGWA","GETO","Geothlypis tolmiei"
"MALL","Mallard","Mallard","MALL","mallar3","","MALL","ANPL","Anas platyrhynchos"
"MAMU","Marbled Murrelet","Marbled Murrelet","MAMU","marmur","","MAMU","BRMA","Brachyramphus marmoratus"
"MAWR","Marsh Wren","Marsh Wren","MAWR","marwre","","MAWR","CIPA","Cistothorus palustris"
"MEGU","Mew Gull","Mew Gull","MEGU","","","","",""
"MERL","Merlin","Merlin","MERL","merlin","","MERL","FACO","Falco columbarius"
"MGNW","Magnolia Warbler","Magnolia Warbler","MGNW","magwar","","MAWA","SEMA","Setophaga magnolia"
