"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"fragul","","FRGU","Franklin's Gull","LEPI","Leucophaeus pipixcan","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"mewgul2","MEGU SBGU","SBIG","Short-billed Gull","LABR","Larus brachyrhynchus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"ribgul","","RBGU","Ring-billed Gull","LADE","Larus delawarensis","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"wesgul","","WEGU","Western Gull","LAOC","Larus occidentalis","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"hergul","AHHG EHGU HEGU","HERG","Herring Gull","LAAR","Larus argentatus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"glagul","","GLGU","Glaucous Gull","LAHY","Larus hyperboreus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"calgul","","CAGU","California Gull","LACA","Larus californicus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"glwgul","","GWGU","Glaucous-winged Gull","LAGL","Larus glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"x00051","WEGU GWGU","WGWH","Western x Glaucous-winged Gull (hybrid)","LAGL LAOC","Larus occidentalis x glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"x00050","AHHG EHGU HEGU HERG GWGU","","Herring x Glaucous-winged Gull (hybrid)","LAAR LAGL","Larus argentatus x glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"y00478","","ICGU","Iceland Gull","LAGL","Larus glaucoides","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"caster1","","CATE","Caspian Tern","HYCA","Hydroprogne caspia","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"comter","","COTE","Common Tern","STHI","Sterna hirundo","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"retloo","RTDI","RTLO","Red-throated Loon","GAST","Gavia stellata","Loons","Gaviidae","gaviid1","Gaviiformes"
"pacloo","PADI","PALO","Pacific Loon","GAPA","Gavia pacifica","Loons","Gaviidae","gaviid1","Gaviiformes"
"comloo","GNDI","COLO","Common Loon","GAIM","Gavia immer","Loons","Gaviidae","gaviid1","Gaviiformes"
"yebloo","WBDI","YBLO","Yellow-billed Loon","GAAD","Gavia adamsii","Loons","Gaviidae","gaviid1","Gaviiformes"
"bracor","BRCO","BRAC","Brandt's Cormorant","URPE","Urile penicillatus","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes"
"pelcor","","PECO","Pelagic Cormorant","URPE","Urile pelagicus","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes"
"doccor","","DCCO","Double-crested Cormorant","NAAU","Nannopterum auritum","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes"
"amwpel","","AWPE","American White Pelican","PEER","Pelecanus erythrorhynchos","Pelicans","Pelecanidae","peleca1","Pelecaniformes"
"amebit","","AMBI","American Bittern","BOLE","Botaurus lentiginosus","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes"
"grnher","GBHE","GRHE","Green Heron","BUVI","Butorides virescens","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes"
"grbher3","GBWH","GBHE","Great Blue Heron","ARHE","Ardea herodias","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes"
"turvul","","TUVU","Turkey Vulture","CAAU","Cathartes aura","New World Vultures","Cathartidae","cathar2","Cathartiformes"
"osprey","","OSPR","Osprey","PAHA","Pandion haliaetus","Osprey","Pandionidae","pandio1","Accipitriformes"
"goleag","","GOEA","Golden Eagle","AQCH","Aquila chrysaetos","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"norhar2","","NOHA","Northern Harrier","CIHU","Circus hudsonius","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"shshaw","SSBB","SSHA","Sharp-shinned Hawk","ACST","Accipiter striatus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"coohaw","","COHA","Cooper's Hawk","ACCO","Accipiter cooperii","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"norgos","NOGO AMGO","AGOS","American Goshawk","ACAT","Accipiter atricapillus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"baleag","","BAEA","Bald Eagle","HALE","Haliaeetus leucocephalus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"swahaw","","SWHA","Swainson's Hawk","BUSW","Buteo swainsoni","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"rethaw","","RTHA","Red-tailed Hawk","BUJA","Buteo jamaicensis","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"rolhaw","RLBU","RLHA","Rough-legged Hawk","BULA","Buteo lagopus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"grhowl","","GHOW","Great Horned Owl","BUVI","Bubo virginianus","Owls","Strigidae","strigi1","Strigiformes"
"nopowl","NPOW","NOPO","Northern Pygmy-Owl","GLGN","Glaucidium gnoma","Owls","Strigidae","strigi1","Strigiformes"
"brdowl","BAOW","BADO","Barred Owl","STVA","Strix varia","Owls","Strigidae","strigi1","Strigiformes"
"sheowl","","SEOW","Short-eared Owl","ASFL","Asio flammeus","Owls","Strigidae","strigi1","Strigiformes"
"nswowl","","NSWO","Northern Saw-whet Owl","AEAC","Aegolius acadicus","Owls","Strigidae","strigi1","Strigiformes"
"belkin1","","BEKI","Belted Kingfisher","MEAL","Megaceryle alcyon","Kingfishers","Alcedinidae","alcedi1","Coraciiformes"
"rensap","","RNSA","Red-naped Sapsucker","SPNU","Sphyrapicus nuchalis","Woodpeckers","Picidae","picida1","Piciformes"
"rebsap","","RBSA","Red-breasted Sapsucker","SPRU","Sphyrapicus ruber","Woodpeckers","Picidae","picida1","Piciformes"
"lewwoo","","LEWO","Lewis's Woodpecker","MELE","Melanerpes lewis","Woodpeckers","Picidae","picida1","Piciformes"
"dowwoo","","DOWO","Downy Woodpecker","DRPU","Dryobates pubescens","Woodpeckers","Picidae","picida1","Piciformes"
"haiwoo","","HAWO","Hairy Woodpecker","DRVI","Dryobates villosus","Woodpeckers","Picidae","picida1","Piciformes"
"pilwoo","","PIWO","Pileated Woodpecker","DRPI","Dryocopus pileatus","Woodpeckers","Picidae","picida1","Piciformes"
"norfli","YSSF","NOFL","Northern Flicker","COAU","Colaptes auratus","Woodpeckers","Picidae","picida1","Piciformes"
"amekes","","AMKE","American Kestrel","FASP","Falco sparverius","Falcons and Caracaras","Falconidae","falcon1","Falconiformes"
"merlin","","MERL","Merlin","FACO","Falco columbarius","Falcons and Caracaras","Falconidae","falcon1","Falconiformes"
"perfal","","PEFA","Peregrine Falcon","FAPE","Falco peregrinus","Falcons and Caracaras","Falconidae","falcon1","Falconiformes"
"olsfly","","OSFL","Olive-sided Flycatcher","COCO","Contopus cooperi","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"wewpew","WWPE","WEWP","Western Wood-Pewee","COSO","Contopus sordidulus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"wilfly","","WIFL","Willow Flycatcher","EMTR","Empidonax traillii","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"leafly","","LEFL","Least Flycatcher","EMMI","Empidonax minimus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"hamfly","","HAFL","Hammond's Flycatcher","EMHA","Empidonax hammondii","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"dusfly","ADFL","DUFL","Dusky Flycatcher","EMOB","Empidonax oberholseri","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"wesfly","PSFL","WEFL","Western Flycatcher","EMDI","Empidonax difficilis","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"saypho","","SAPH","Say's Phoebe","SASA","Sayornis saya","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"astfly","","ATFL","Ash-throated Flycatcher","MYCI","Myiarchus cinerascens","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"trokin","","TRKI","Tropical Kingbird","TYME","Tyrannus melancholicus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"weskin","","WEKI","Western Kingbird","TYVE","Tyrannus verticalis","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"easkin","","EAKI","Eastern Kingbird","TYTY","Tyrannus tyrannus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes"
"hutvir","","HUVI","Hutton's Vireo","VIHU","Vireo huttoni","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes"
"casvir","","CAVI","Cassin's Vireo","VICA","Vireo cassinii","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes"
"warvir","","WAVI","Warbling Vireo","VIGI","Vireo gilvus","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes"
"reevir1","","REVI","Red-eyed Vireo","VIOL","Vireo olivaceus","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes"
"norshr4","NGSH NOSH","NSHR","Northern Shrike","LABO","Lanius borealis","Shrikes","Laniidae","laniid1","Passeriformes"
"stejay","","STJA","Steller's Jay","CYST","Cyanocitta stelleri","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes"
"cowscj1","CSJA WSJA","CASJ","California Scrub-Jay","APCA","Aphelocoma californica","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes"
"amecro","","AMCR","American Crow","COBR","Corvus brachyrhynchos","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes"
"comrav","NORA","CORA","Common Raven","COCO","Corvus corax","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes"
"bkcchi","","BCCH","Black-capped Chickadee","POAT","Poecile atricapillus","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes"
"mouchi","","MOCH","Mountain Chickadee","POGA","Poecile gambeli","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes"
"chbchi","","CBCH","Chestnut-backed Chickadee","PORU","Poecile rufescens","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes"
"horlar","SHLA","HOLA","Horned Lark","ERAL","Eremophila alpestris","Larks","Alaudidae","alaudi1","Passeriformes"
"banswa","SAMA BASW CSMA","BANS","Bank Swallow","RIRI","Riparia riparia","Swallows","Hirundinidae","hirund2","Passeriformes"
"treswa","TRSW","TRES","Tree Swallow","TABI","Tachycineta bicolor","Swallows","Hirundinidae","hirund2","Passeriformes"
"vigswa","","VGSW","Violet-green Swallow","TATH","Tachycineta thalassina","Swallows","Hirundinidae","hirund2","Passeriformes"
"purmar","","PUMA","Purple Martin","PRSU","Progne subis","Swallows","Hirundinidae","hirund2","Passeriformes"
"nrwswa","","NRWS","Northern Rough-winged Swallow","STSE","Stelgidopteryx serripennis","Swallows","Hirundinidae","hirund2","Passeriformes"
"barswa","BASW","BARS","Barn Swallow","HIRU","Hirundo rustica","Swallows","Hirundinidae","hirund2","Passeriformes"
"cliswa","ACSW","CLSW","Cliff Swallow","PEPY","Petrochelidon pyrrhonota","Swallows","Hirundinidae","hirund2","Passeriformes"
"bushti","AMBU","BUSH","Bushtit","PSMI","Psaltriparus minimus","Long-tailed Tits","Aegithalidae","aegith2","Passeriformes"
"ruckin","","RCKI","Ruby-crowned Kinglet","COCA","Corthylio calendula","Kinglets","Regulidae","reguli1","Passeriformes"
"gockin","","GCKI","Golden-crowned Kinglet","RESA","Regulus satrapa","Kinglets","Regulidae","reguli1","Passeriformes"
"rebnut","","RBNU","Red-breasted Nuthatch","SICA","Sitta canadensis","Nuthatches","Sittidae","sittid1","Passeriformes"
"brncre","AMTR ABCR","BRCR","Brown Creeper","CEAM","Certhia americana","Treecreepers","Certhiidae","certhi2","Passeriformes"
"buggna","","BGGN","Blue-gray Gnatcatcher","POCA","Polioptila caerulea","Gnatcatchers","Polioptilidae","poliop1","Passeriformes"
"rocwre","ARWR","ROWR","Rock Wren","SAOB","Salpinctes obsoletus","Wrens","Troglodytidae","troglo1","Passeriformes"
"houwre","","HOWR","House Wren","TRAE","Troglodytes aedon","Wrens","Troglodytidae","troglo1","Passeriformes"
"pacwre1","","PAWR","Pacific Wren","TRPA","Troglodytes pacificus","Wrens","Troglodytidae","troglo1","Passeriformes"
"marwre","","MAWR","Marsh Wren","CIPA","Cistothorus palustris","Wrens","Troglodytidae","troglo1","Passeriformes"
"bewwre","","BEWR","Bewick's Wren","THBE","Thryomanes bewickii","Wrens","Troglodytidae","troglo1","Passeriformes"
"amedip","","AMDI","American Dipper","CIME","Cinclus mexicanus","Dippers","Cinclidae","cincli1","Passeriformes"
"eursta","COST","EUST","European Starling","STVU","Sturnus vulgaris","Starlings","Sturnidae","sturni1","Passeriformes"
"grycat","","GRCA","Gray Catbird","DUCA","Dumetella carolinensis","Mockingbirds and Thrashers","Mimidae","mimida2","Passeriformes"
"sagthr","","SATH","Sage Thrasher","ORMO","Oreoscoptes montanus","Mockingbirds and Thrashers","Mimidae","mimida2","Passeriformes"
"moublu","","MOBL","Mountain Bluebird","SICU","Sialia currucoides","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"towsol","","TOSO","Townsend's Solitaire","MYTO","Myadestes townsendi","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"varthr","","VATH","Varied Thrush","IXNA","Ixoreus naevius","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"swathr","RBTH","SWTH","Swainson's Thrush","CAUS","Catharus ustulatus","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"herthr","","HETH","Hermit Thrush","CAGU","Catharus guttatus","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"amerob","ALRO","AMRO","American Robin","TUMI","Turdus migratorius","Thrushes and Allies","Turdidae","turdid1","Passeriformes"
"bohwax","","BOWA","Bohemian Waxwing","BOGA","Bombycilla garrulus","Waxwings","Bombycillidae","bombyc1","Passeriformes"
"cedwax","CEWA","CEDW","Cedar Waxwing","BOCE","Bombycilla cedrorum","Waxwings","Bombycillidae","bombyc1","Passeriformes"
"houspa","","HOSP","House Sparrow","PADO","Passer domesticus","Old World Sparrows","Passeridae","passer4","Passeriformes"
"amepip","BBPI","AMPI","American Pipit","ANRU","Anthus rubescens","Wagtails and Pipits","Motacillidae","motaci1","Passeriformes"
"evegro","","EVGR","Evening Grosbeak","COVE","Coccothraustes vespertinus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"pingro","","PIGR","Pine Grosbeak","PIEN","Pinicola enucleator","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
