"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"x00425","HOME COGO","","Common Goldeneye x Hooded Merganser (hybrid)","LOCU BUCL","Bucephala clangula x Lophodytes cucullatus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00426","BAGO HOME","","Barrow's Goldeneye x Hooded Merganser (hybrid)","BUIS LOCU","Bucephala islandica x Lophodytes cucullatus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00631","BAGO HOME COGO","","goldeneye sp. x Hooded Merganser (hybrid)","BUIS LOCU BUCL","Bucephala clangula/islandica x Lophodytes cucullatus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"commer","GOOS","COME","Common Merganser","MEME","Mergus merganser","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rebmer","","RBME","Red-breasted Merganser","MESE","Mergus serrator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rudduc","","RUDU","Ruddy Duck","OXJA","Oxyura jamaicensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"helgui","HEGU","HELG","Helmeted Guineafowl","NUME","Numida meleagris","Guineafowl","Numididae","numidi1","Galliformes"
"mouqua","MOQU","MOUQ","Mountain Quail","ORPI","Oreortyx pictus","New World Quail","Odontophoridae","odonto1","Galliformes"
"norbob","","NOBO","Northern Bobwhite","COVI","Colinus virginianus","New World Quail","Odontophoridae","odonto1","Galliformes"
"calqua","","CAQU","California Quail","CACA","Callipepla californica","New World Quail","Odontophoridae","odonto1","Galliformes"
"wiltur","","WITU","Wild Turkey","MEGA","Meleagris gallopavo","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"rufgro","","RUGR","Ruffed Grouse","BOUM","Bonasa umbellus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"dusgro","","DUGR","Dusky Grouse","DEOB","Dendragapus obscurus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"soogro1","","SOGR","Sooty Grouse","DEFU","Dendragapus fuliginosus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"shtgro","","STGR","Sharp-tailed Grouse","TYPH","Tympanuchus phasianellus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"whtpta1","","WTPT","White-tailed Ptarmigan","LALE","Lagopus leucura","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"wilpta","WIGR RGGR","WIPT","Willow Ptarmigan","LALA","Lagopus lagopus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"rocpta1","","ROPT","Rock Ptarmigan","LAMU","Lagopus muta","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"sprgro","","SPGR","Spruce Grouse","CACA","Canachites canadensis","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"grypar","GRPA","GRAP","Gray Partridge","PEPE","Perdix perdix","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"golphe","GOPH","","Golden Pheasant","CHPI","Chrysolophus pictus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"rinphe1","RNPH COPH","RNEP","Ring-necked Pheasant","PHCO","Phasianus colchicus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"x01018","RNEP GRPH RNPH COPH","","Ring-necked x Green Pheasant (hybrid)","PHCO PHVE","Phasianus colchicus x versicolor","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"silphe","SIPH","","Silver Pheasant","LONY","Lophura nycthemera","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"compea","","INPE","Indian Peafowl","PACR","Pavo cristatus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"comqua1","COQU","","Common Quail","COCO","Coturnix coturnix","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"chukar","CHPA","CHUK","Chukar","ALCH","Alectoris chukar","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes"
"grefla2","","AMFL","American Flamingo","PHRU","Phoenicopterus ruber","Flamingos","Phoenicopteridae","phoeni1","Phoenicopteriformes"
"pibgre","","PBGR","Pied-billed Grebe","POPO","Podilymbus podiceps","Grebes","Podicipedidae","podici1","Podicipediformes"
"horgre","SLGR","HOGR","Horned Grebe","POAU","Podiceps auritus","Grebes","Podicipedidae","podici1","Podicipediformes"
"rengre","","RNGR","Red-necked Grebe","POGR","Podiceps grisegena","Grebes","Podicipedidae","podici1","Podicipediformes"
"eargre","BNGR","EAGR","Eared Grebe","PONI","Podiceps nigricollis","Grebes","Podicipedidae","podici1","Podicipediformes"
"wesgre","","WEGR","Western Grebe","AEOC","Aechmophorus occidentalis","Grebes","Podicipedidae","podici1","Podicipediformes"
"clagre","","CLGR","Clark's Grebe","AECL","Aechmophorus clarkii","Grebes","Podicipedidae","podici1","Podicipediformes"
"x00427","WEGR CLGR","","Western x Clark's Grebe (hybrid)","AEOC AECL","Aechmophorus occidentalis x clarkii","Grebes","Podicipedidae","podici1","Podicipediformes"
"rocpig","ROPI RODO","","Rock Pigeon","COLI","Columba livia","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"batpig1","NBTP","BTPI","Band-tailed Pigeon","PAFA","Patagioenas fasciata","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"ortdov","OTDO RTDO","ORTD","Oriental Turtle-Dove","STOR","Streptopelia orientalis","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"eucdov","CODO ECDO","EUCD","Eurasian Collared-Dove","STDE","Streptopelia decaocto","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"afcdov1","ACDO","AFCD","African Collared-Dove","STRO","Streptopelia roseogrisea","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"whwdov","","WWDO","White-winged Dove","ZEAS","Zenaida asiatica","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"moudov","","MODO","Mourning Dove","ZEMA","Zenaida macroura","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"yebcuc","","YBCU","Yellow-billed Cuckoo","COAM","Coccyzus americanus","Cuckoos","Cuculidae","cuculi1","Cuculiformes"
